Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_1 pop_A pop_A 0.699945209035626 0.299914927636028 0.000139863328346012
1_4 pop_A pop_B 0.331491038582012 0.66849906684359 9.89457439798149e-06
1_7 pop_A pop_A 0.716644997410041 0.283354909967752 9.26222069360888e-08
1_10 pop_A pop_A 0.668792417321628 0.33059138330088 0.000616199377491908
1_12 pop_A pop_A 0.897355166771654 0.102644756532124 7.66962215612081e-08
1_14 pop_A pop_B 0.414508000602622 0.585486343886412 5.6555109653957e-06
1_15 pop_A pop_A 0.897355166771654 0.102644756532124 7.66962215612081e-08
1_20 pop_A pop_A 0.618337488209195 0.381662277190168 2.34600636886668e-07
2_3 pop_B pop_B 0.258880246992663 0.741119750594937 2.41240024954176e-09
2_5 pop_B pop_A 0.636351848530914 0.363647102981262 1.04848782376572e-06
2_8 pop_B pop_A 0.754665912938682 0.245333156792235 9.30269083575374e-07
2_20 pop_B pop_B 0.423688060616349 0.576311848670693 9.07129582045674e-08
2_21 pop_B pop_B 0.253793755787795 0.734090082654912 0.0121161615572931
2_22 pop_B pop_B 0.0248200935880279 0.975179906399158 1.28141772949343e-11
2_23 pop_B pop_B 0.303429816123738 0.696570167312036 1.65642264699043e-08
2_29 pop_B pop_A 0.759761430491755 0.240237513722345 1.05578590002203e-06
3_6 pop_C pop_C 7.93712026505247e-06 1.10332654435784e-06 0.999990959553191
3_7 pop_C pop_C 4.14842079146499e-05 1.78340881942917e-05 0.999940681703891
3_11 pop_C pop_B 0.248383272666871 0.625240691966734 0.126376035366395
3_12 pop_C pop_C 1.20287190550125e-05 2.40315975763904e-06 0.999985568121187
3_15 pop_C pop_C 8.24083775518464e-10 3.487824912302e-10 0.999999998827134
3_16 pop_C pop_C 0.0286707271510741 0.0181726814461941 0.953156591402732
3_18 pop_C pop_C 8.24083775518464e-10 3.487824912302e-10 0.999999998827134
3_20 pop_C pop_C 1.86450150333261e-09 1.37560650871245e-09 0.999999996759892
