Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_5 pop_A pop_A 0.824174026986611 0.175824377364579 1.59564881003199e-06
1_8 pop_A pop_B 0.402492943994764 0.596698002685343 0.000809053319892777
1_26 pop_A pop_A 0.622335454317759 0.377658952936269 5.59274597153333e-06
1_27 pop_A pop_A 0.529302568253731 0.469646193697933 0.00105123804833607
1_29 pop_A pop_A 0.824174026986611 0.175824377364579 1.59564881003199e-06
1_30 pop_A pop_A 0.853048094289351 0.146734366856782 0.000217538853866726
2_4 pop_B pop_A 0.785121341216304 0.208533560005784 0.00634509877791202
2_14 pop_B pop_A 0.526377267963797 0.473015864329778 0.000606867706424661
2_15 pop_B pop_A 0.514077955842104 0.485917626588474 4.41756942255622e-06
2_18 pop_B pop_A 0.649783493445251 0.349476315599775 0.00074019095497438
2_25 pop_B pop_C 0.0749591403618148 0.376760845099336 0.548280014538849
2_28 pop_B pop_A 0.785121341216304 0.208533560005784 0.00634509877791202
3_3 pop_C pop_C 0.00239310257156106 0.000704470115460269 0.996902427312979
3_5 pop_C pop_C 0.00768137118823059 0.0108668710898131 0.981451757721956
3_6 pop_C pop_C 0.00155484500516315 0.00128875342820323 0.997156401566634
3_8 pop_C pop_C 3.92598344695228e-07 4.59768060246075e-06 0.999995009721053
3_14 pop_C pop_C 0.00391580081175991 0.00213595146384854 0.993948247724391
3_20 pop_C pop_C 1.774195090319e-07 3.84247213305287e-06 0.999995980108358
