"","RAW","COOK","COOKC","EM","ML"
"East",0.378306888888889,0.379467865707434,0.379467865707434,0.379467911764063,0.351848358574762
"West",0.621693111111111,0.620532134292566,0.620532134292566,0.620532088235937,0.648151641425238
