Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_1 pop_A pop_A 0.504156841980131 0.471260670735352 0.0245824872845171
1_4 pop_A pop_A 0.523241114169841 0.430726116054352 0.0460327697758076
1_11 pop_A pop_A 0.508225505984331 0.469773992572593 0.0220005014430771
1_18 pop_A pop_B 0.467788334108963 0.513293673649427 0.0189179922416094
1_20 pop_A pop_A 0.493304359602659 0.486654965379468 0.0200406750178731
1_24 pop_A pop_A 0.534263105747551 0.446546086325038 0.0191908079274104
1_25 pop_A pop_A 0.509865618528503 0.471221081504986 0.0189132999665107
1_27 pop_A pop_A 0.519473905213446 0.423150126244802 0.0573759685417525
1_29 pop_A pop_A 0.552242109536221 0.432851841082498 0.0149060493812814
2_3 pop_B pop_A 0.490277525317783 0.48488929599252 0.024833178689697
2_7 pop_B pop_A 0.50390697275554 0.477687353810666 0.0184056734337943
2_10 pop_B pop_A 0.514735112214391 0.460696971144382 0.0245679166412263
2_15 pop_B pop_A 0.510742457420743 0.47361022874035 0.0156473138389068
2_16 pop_B pop_B 0.452290024116476 0.490478583987614 0.0572313918959096
2_22 pop_B pop_B 0.462279549359185 0.513120362988897 0.0246000876519182
2_25 pop_B pop_C 0.159477037058402 0.292687739493451 0.547835223448148
2_27 pop_B pop_A 0.491499722430351 0.487237065513404 0.0212632120562448
2_30 pop_B pop_B 0.46057045073112 0.497613736102779 0.0418158131661013
3_7 pop_C pop_C 0.128985365199191 0.201226221807999 0.66978841299281
3_10 pop_C pop_A 0.551964945713987 0.370420571691207 0.0776144825948054
3_12 pop_C pop_C 0.0943375372067498 0.190977483779571 0.714684979013679
3_16 pop_C pop_C 0.0987001276791753 0.210748468365571 0.690551403955254
3_17 pop_C pop_C 0.0022815368879068 0.0117090299038852 0.986009433208208
3_21 pop_C pop_C 0.00758074826037823 0.0423545152333867 0.950064736506235
3_22 pop_C pop_B 0.162857305768917 0.562523165164898 0.274619529066185
3_23 pop_C pop_C 0.110106262936417 0.200764928724822 0.689128808338762
3_26 pop_C pop_C 0.0046946119363774 0.0288849224019001 0.966420465661722
