Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_3 pop_A pop_B 0.435147760877965 0.552354980801003 0.0124972583210318
1_7 pop_A pop_B 0.440413438942833 0.551314879512735 0.00827168154443156
1_8 pop_A pop_A 0.603343088156339 0.226634414221548 0.170022497622113
1_13 pop_A pop_A 0.56750458139931 0.418874610099062 0.0136208085016274
1_17 pop_A pop_A 0.591089340123357 0.227747720344133 0.18116293953251
1_19 pop_A pop_A 0.590643544019698 0.239434940779364 0.169921515200938
1_20 pop_A pop_B 0.382183709242491 0.588764027096427 0.0290522636610823
1_23 pop_A pop_B 0.433089275523544 0.554564862519255 0.0123458619572017
1_29 pop_A pop_A 0.686761698620589 0.311460128904044 0.00177817247536728
2_4 pop_B pop_A 0.662195457015147 0.242787153894616 0.0950173890902371
2_7 pop_B pop_A 0.518897484731314 0.45203429712705 0.0290682181416359
2_14 pop_B pop_B 0.223577964433058 0.697247189949768 0.0791748456171737
2_19 pop_B pop_A 0.43536845767765 0.286984588975088 0.277646953347262
2_22 pop_B pop_B 0.263551736176127 0.64613104632772 0.0903172174961528
2_23 pop_B pop_B 0.221284735633558 0.693448921641613 0.0852663427248286
2_24 pop_B pop_A 0.596141453034739 0.393518012613942 0.0103405343513196
2_26 pop_B pop_A 0.708317502462378 0.1724319561952 0.119250541342422
2_27 pop_B pop_A 0.518897484731314 0.45203429712705 0.0290682181416359
3_2 pop_C pop_C 0.0284314053360332 0.20549543941371 0.766073155250257
3_7 pop_C pop_C 0.0751550908395184 0.139969031216033 0.784875877944448
3_8 pop_C pop_C 0.00975594645454534 0.0771978176011333 0.913046235944322
3_9 pop_C pop_C 0.0294368181359109 0.207408847441838 0.763154334422251
3_11 pop_C pop_B 0.204791288350683 0.485647487873089 0.309561223776228
3_23 pop_C pop_C 0.0184044951678226 0.0463344458739548 0.935261058958222
3_26 pop_C pop_C 0.00239149652511665 0.0208598717829177 0.976748631691966
3_29 pop_C pop_C 0.00830852904523193 0.0656491360773739 0.926042334877394
3_30 pop_C pop_C 0.18330047962212 0.127194039549969 0.689505480827911
