"","RAW","COOK","COOKC","EM","ML"
"East",0.402700222222222,0.389432070707071,0.389432070707071,0.389432077726616,0.329569407279209
"West",0.597299777777778,0.610567929292929,0.610567929292929,0.610567922273384,0.670430592720791
