"","RAW","COOK","COOKC","EM","ML"
"East",0.377448888888889,0.340590330788804,0.340590330788804,0.340590514724165,0.32212022288056
"West",0.622551111111111,0.659409669211196,0.659409669211196,0.659409485275835,0.67787977711944
